club_id,club_name,clubelo_club,clubelo_country
11282,Alanyaspor,Alanyaspor,TUR
11688,Giresunspor,Giresunspor,TUR
12321,Girona FC,Girona,ESP
12438,Volga Nizhniy Novgorod (- 2016),Volga,RUS
13726,MFK Karvina,Karvina,CZE
14171,Thonon Évian Grand Genève FC,Evian TG,FRA
14589,FC Orenburg,Orenburg,RUS
15906,Termalica Bruk-Bet Nieciecza Klub Sportowy,Nieciecza,POL
16239,Desna Chernigiv,Desna,UKR
16245,FK Sevastopol (- 2014),Sevastopol,UKR
16704,FK Krasnodar,FC Krasnodar,RUS
16795,Granada CF,Granada,ESP
18105,PFK Lviv,FC Lviv,UKR
18303,FC Oleksandriya,Olexandriya,UKR
19657,Vendsyssel FF,Vendsyssel,DEN
19771,Akhisarspor,Akhisar,TUR
19789,Yeni Malatyaspor,Malatyaspor,TUR
20100,FC Vestsjaelland,Vestsjaelland,DEN
20698,Balikesirspor,Balikesirspor,TUR
20887,FK Jedinstvo Ub,Jedinstvo Ub,SRB
21101,Kristiansund Ballklubb,Kristiansund,NOR
21957,AO Platanias,Platanias,GRE
22110,FC Helsingör,Helsingor,DEN
22431,Stal Mielec,Stal Mielec,POL
23184,KFUM-Kameratene Oslo,KFUM Oslo,NOR
23611,Olimpik Donetsk,Olimpik Donetsk,UKR
23826,RB Leipzig,RB Leipzig,GER
24245,Ümraniyespor,Umraniyespor,TUR
24575,HNK Gorica,HNK Gorica,CRO
26459,NK Veres Rivne,Veres,UKR
28095,FK Ufa,Ufa,RUS
28643,SK Beveren,Beveren,BEL
28760,SK Austria Klagenfurt,Klagenfurt,AUT
28893,Puszcza Niepolomice,Puszcza Niepolomice,POL
29228,Royal Excel Mouscron (-2022),Mouscron,BEL
29700,AFC Unirea 04 Slobozia,Unirea Slobozia,ROM
29831,FCV Farul Constanta,Farul,ROM
30120,Athlitiki Enosi Kifisias,Kifisias,GRE
32113,FK IMT Belgrad,IMT,SRB
33328,FK Radnik Surdulica,Radnik Surdulica,SRB
33966,ACSM Politehnica Iasi,Iasi,ROM
36922,FK Tekstilac Odzaci,Tekstilac Odzaci,SRB
37255,FK Csikszereda Miercurea Ciuc,Csikszereda,ROM
37624,FC Metaloglobus Bucharest,Metaloglobus,ROM
39097,Obolon Kyiv,Obolon Kyiv,UKR
39722,Erzurumspor FK,Erzurumspor,TUR
40426,FC Tosno (-2018),Tosno,RUS
